intervention_id,name,itype,source,organism,lifespan_effect_pct,linked_gene_ids,url,n_experiments
DRUGAGE:chlorpheniramine:mus_musculus,Chlorpheniramine,drug,DrugAge,Mus musculus,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:chlorpheniramine_maleate:drosophila_melanogaster,Chlorpheniramine maleate,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:chlorpromazine:mus_musculus,Chlorpromazine,drug,DrugAge,Mus musculus,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:chlorpromazine_chloride:drosophila_melanogaster,Chlorpromazine chloride,drug,DrugAge,Drosophila melanogaster,-8.17,,https://genomics.senescence.info/drugs/,4
DRUGAGE:chlorprothixene_hydrochloride:caenorhabditis_elegans,Chlorprothixene hydrochloride,drug,DrugAge,Caenorhabditis elegans,33.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:choline_chloride:caenorhabditis_elegans,Choline Chloride,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:choline_chloride:drosophila_melanogaster,Choline Chloride,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:chrysanthemum_extract:drosophila_melanogaster,Chrysanthemum extract,drug,DrugAge,Drosophila melanogaster,15.5,,https://genomics.senescence.info/drugs/,7
DRUGAGE:chrysin:caenorhabditis_elegans,Chrysin,drug,DrugAge,Caenorhabditis elegans,8.46,,https://genomics.senescence.info/drugs/,4
DRUGAGE:ciclopirox_olamine:caenorhabditis_elegans,Ciclopirox olamine,drug,DrugAge,Caenorhabditis elegans,41.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:cinnamon_extract:drosophila_melanogaster,Cinnamon extract,drug,DrugAge,Drosophila melanogaster,27.0,,https://genomics.senescence.info/drugs/,2
DRUGAGE:cinnarizine:caenorhabditis_elegans,Cinnarizine,drug,DrugAge,Caenorhabditis elegans,15.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:cinoxacin:caenorhabditis_elegans,Cinoxacin,drug,DrugAge,Caenorhabditis elegans,-11.99,,https://genomics.senescence.info/drugs/,2
DRUGAGE:cinoxacin:drosophila_melanogaster,Cinoxacin,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:cis__z__flupenthixol_dihydrochloride:caenorhabditis_elegans,Cis-(Z)-Flupenthixol dihydrochloride,drug,DrugAge,Caenorhabditis elegans,30.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:citrate:caenorhabditis_elegans,Citrate,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:citrate:mytilina_brevispina,Citrate,drug,DrugAge,Mytilina brevispina,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:clofibrate:caenorhabditis_elegans,Clofibrate,drug,DrugAge,Caenorhabditis elegans,16.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:clofilium_tosylate:caenorhabditis_elegans,Clofilium Tosylate,drug,DrugAge,Caenorhabditis elegans,-7.66,,https://genomics.senescence.info/drugs/,2
DRUGAGE:cocoa_extract:drosophila_melanogaster,Cocoa extract,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:cocoa_extract:rattus_norvegicus,Cocoa extract,drug,DrugAge,Rattus norvegicus,11.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:coenzyme_q10:caenorhabditis_elegans,Coenzyme Q10,drug,DrugAge,Caenorhabditis elegans,13.5,,https://genomics.senescence.info/drugs/,4
DRUGAGE:coenzyme_q10:mus_musculus,Coenzyme Q10,drug,DrugAge,Mus musculus,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:coenzyme_q10:rattus_norvegicus,Coenzyme Q10,drug,DrugAge,Rattus norvegicus,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:coix_seed_oil:caenorhabditis_elegans,Coix seed oil,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,3
DRUGAGE:colanic_acid:caenorhabditis_elegans,Colanic acid,drug,DrugAge,Caenorhabditis elegans,12.5,,https://genomics.senescence.info/drugs/,19
DRUGAGE:colanic_acid:drosophila_melanogaster,Colanic acid,drug,DrugAge,Drosophila melanogaster,18.5,,https://genomics.senescence.info/drugs/,2
DRUGAGE:colchine:drosophila_melanogaster,Colchine,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:cordyceps_sinensis_oral_liquid:drosophila_melanogaster,Cordyceps sinensis oral liquid,drug,DrugAge,Drosophila melanogaster,32.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:cortexolone_maleate:caenorhabditis_elegans,Cortexolone maleate,drug,DrugAge,Caenorhabditis elegans,11.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:cortisone:asplanchna_brightwelli,Cortisone,drug,DrugAge,Asplanchna brightwelli,20.05,,https://genomics.senescence.info/drugs/,6
DRUGAGE:cranberry_extract:caenorhabditis_elegans,Cranberry extract,drug,DrugAge,Caenorhabditis elegans,17.2,,https://genomics.senescence.info/drugs/,4
DRUGAGE:cranberry_extract:drosophila_melanogaster,Cranberry extract,drug,DrugAge,Drosophila melanogaster,10.4,,https://genomics.senescence.info/drugs/,3
DRUGAGE:creatine:caenorhabditis_elegans,Creatine,drug,DrugAge,Caenorhabditis elegans,-18.0,,https://genomics.senescence.info/drugs/,3
DRUGAGE:creatine:mus_musculus,Creatine,drug,DrugAge,Mus musculus,9.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:crocus_sativus_extract:drosophila_melanogaster,Crocus sativus extract,drug,DrugAge,Drosophila melanogaster,13.55,,https://genomics.senescence.info/drugs/,2
DRUGAGE:cryptotanshinone:caenorhabditis_elegans,Cryptotanshinone,drug,DrugAge,Caenorhabditis elegans,-6.34,,https://genomics.senescence.info/drugs/,2
DRUGAGE:cryptotanshinone:drosophila_melanogaster,Cryptotanshinone,drug,DrugAge,Drosophila melanogaster,13.41,,https://genomics.senescence.info/drugs/,1
DRUGAGE:cucurbitacin_b:saccharomyces_cerevisiae,Cucurbitacin B,drug,DrugAge,Saccharomyces cerevisiae,28.78,,https://genomics.senescence.info/drugs/,3
DRUGAGE:cupric_chloride:drosophila_melanogaster,Cupric chloride,drug,DrugAge,Drosophila melanogaster,-15.1,,https://genomics.senescence.info/drugs/,2
DRUGAGE:cupric_citrate:drosophila_melanogaster,Cupric citrate,drug,DrugAge,Drosophila melanogaster,-16.3,,https://genomics.senescence.info/drugs/,2
DRUGAGE:cupric_formate:drosophila_melanogaster,Cupric formate,drug,DrugAge,Drosophila melanogaster,7.5,,https://genomics.senescence.info/drugs/,3
DRUGAGE:cupric_gluconate:drosophila_melanogaster,Cupric gluconate,drug,DrugAge,Drosophila melanogaster,-46.05,,https://genomics.senescence.info/drugs/,5
DRUGAGE:cupric_glycinate:drosophila_melanogaster,Cupric glycinate,drug,DrugAge,Drosophila melanogaster,-4.4,,https://genomics.senescence.info/drugs/,3
DRUGAGE:cupric_lactate:drosophila_melanogaster,Cupric lactate,drug,DrugAge,Drosophila melanogaster,7.1,,https://genomics.senescence.info/drugs/,5
DRUGAGE:cupric_sulfate:drosophila_melanogaster,Cupric sulfate,drug,DrugAge,Drosophila melanogaster,-10.0,,https://genomics.senescence.info/drugs/,3
DRUGAGE:curare:asplanchna_brightwelli,Curare,drug,DrugAge,Asplanchna brightwelli,29.0,,https://genomics.senescence.info/drugs/,4
DRUGAGE:curcumin:caenorhabditis_elegans,Curcumin,drug,DrugAge,Caenorhabditis elegans,8.805,,https://genomics.senescence.info/drugs/,4
DRUGAGE:curcumin:drosophila_melanogaster,Curcumin,drug,DrugAge,Drosophila melanogaster,18.5,,https://genomics.senescence.info/drugs/,34
DRUGAGE:curcumin:mus_musculus,Curcumin,drug,ITP,Mus musculus,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:cyclic_adenosine_monophosphate:adineta_vaga,Cyclic adenosine monophosphate,drug,DrugAge,Adineta vaga,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:cyclic_adenosine_monophosphate:philodina_acuticornis,Cyclic adenosine monophosphate,drug,DrugAge,Philodina acuticornis,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:cyclizine_hcl:drosophila_melanogaster,Cyclizine HCl,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:cycloheximide:drosophila_melanogaster,Cycloheximide,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:cyclophosphamide:rattus_norvegicus,Cyclophosphamide,drug,DrugAge,Rattus norvegicus,-9.47,,https://genomics.senescence.info/drugs/,2
DRUGAGE:cyclosporin_a:caenorhabditis_elegans,Cyclosporin A,drug,DrugAge,Caenorhabditis elegans,18.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:cyclosporin_a:podospora_anserina,Cyclosporin A,drug,DrugAge,Podospora anserina,3.32,,https://genomics.senescence.info/drugs/,3
DRUGAGE:cynomorium_songaricum_extract:drosophila_melanogaster,Cynomorium songaricum extract,drug,DrugAge,Drosophila melanogaster,15.3,,https://genomics.senescence.info/drugs/,6
DRUGAGE:cyproterone_acetate:caenorhabditis_elegans,Cyproterone acetate,drug,DrugAge,Caenorhabditis elegans,23.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:cysteine:caenorhabditis_elegans,Cysteine,drug,DrugAge,Caenorhabditis elegans,12.5,,https://genomics.senescence.info/drugs/,3
DRUGAGE:cysteine_hydrochloride:mus_musculus,Cysteine hydrochloride,drug,DrugAge,Mus musculus,,,https://genomics.senescence.info/drugs/,3
DRUGAGE:cytidine:caenorhabditis_elegans,Cytidine,drug,DrugAge,Caenorhabditis elegans,9.83,,https://genomics.senescence.info/drugs/,1
DRUGAGE:d_allulose:caenorhabditis_elegans,D-Allulose,drug,DrugAge,Caenorhabditis elegans,7.0,,https://genomics.senescence.info/drugs/,3
DRUGAGE:d_erythro_mapp:caenorhabditis_elegans,D-Erythro-MAPP,drug,DrugAge,Caenorhabditis elegans,-6.25,,https://genomics.senescence.info/drugs/,1
DRUGAGE:d_alanine:caenorhabditis_elegans,D-alanine,drug,DrugAge,Caenorhabditis elegans,16.0,,https://genomics.senescence.info/drugs/,3
DRUGAGE:d_aspartate:caenorhabditis_elegans,D-aspartate,drug,DrugAge,Caenorhabditis elegans,13.0,,https://genomics.senescence.info/drugs/,3
DRUGAGE:d_beta_hydroxybutyrate:caenorhabditis_elegans,D-beta-hydroxybutyrate,drug,DrugAge,Caenorhabditis elegans,26.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:d_glucosamine:caenorhabditis_elegans,D-glucosamine,drug,DrugAge,Caenorhabditis elegans,11.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:d_glucosamine:mus_musculus,D-glucosamine,drug,DrugAge,Mus musculus,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:d_glucosamine:saccharomyces_cerevisiae,D-glucosamine,drug,DrugAge,Saccharomyces cerevisiae,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:d_glutamate:caenorhabditis_elegans,D-glutamate,drug,DrugAge,Caenorhabditis elegans,16.0,,https://genomics.senescence.info/drugs/,3
DRUGAGE:d_xylitol:caenorhabditis_elegans,D-xylitol,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:d_xylitol:drosophila_melanogaster,D-xylitol,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:d_xylitol:saccharomyces_cerevisiae,D-xylitol,drug,DrugAge,Saccharomyces cerevisiae,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:d609:caenorhabditis_elegans,D609,drug,DrugAge,Caenorhabditis elegans,25.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:daph:caenorhabditis_elegans,DAPH,drug,DrugAge,Caenorhabditis elegans,15.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:deta_nonoate:caenorhabditis_elegans,DETA NONOate,drug,DrugAge,Caenorhabditis elegans,8.9,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dh376:caenorhabditis_elegans,DH376,drug,DrugAge,Caenorhabditis elegans,-50.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dl_isocitrate:caenorhabditis_elegans,DL-isocitrate,drug,DrugAge,Caenorhabditis elegans,-7.5,,https://genomics.senescence.info/drugs/,3
DRUGAGE:dl_lactate:caenorhabditis_elegans,DL-lactate,drug,DrugAge,Caenorhabditis elegans,6.0,,https://genomics.senescence.info/drugs/,3
DRUGAGE:dnic_1a:caenorhabditis_elegans,DNIC-1a,drug,DrugAge,Caenorhabditis elegans,11.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dtt:caenorhabditis_elegans,DTT,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:dtt:drosophila_melanogaster,DTT,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dafachronic_acid:caenorhabditis_elegans,Dafachronic Acid,drug,DrugAge,Caenorhabditis elegans,23.44,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dafadine_a:caenorhabditis_elegans,Dafadine-A,drug,DrugAge,Caenorhabditis elegans,29.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:damaurone_d:caenorhabditis_elegans,Damaurone D,drug,DrugAge,Caenorhabditis elegans,12.6,,https://genomics.senescence.info/drugs/,3
DRUGAGE:damnacanthus_officinarum_leaf_extract:caenorhabditis_elegans,Damnacanthus officinarum leaf extract,drug,DrugAge,Caenorhabditis elegans,18.6,,https://genomics.senescence.info/drugs/,1
DRUGAGE:damnacanthus_officinarum_root_extract:caenorhabditis_elegans,Damnacanthus officinarum root extract,drug,DrugAge,Caenorhabditis elegans,30.3,,https://genomics.senescence.info/drugs/,1
DRUGAGE:danazol:caenorhabditis_elegans,Danazol,drug,DrugAge,Caenorhabditis elegans,13.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dapsone:caenorhabditis_elegans,Dapsone,drug,DrugAge,Caenorhabditis elegans,30.635,,https://genomics.senescence.info/drugs/,4
DRUGAGE:darapladib:caenorhabditis_elegans,Darapladib,drug,DrugAge,Caenorhabditis elegans,-20.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dauer_inducing_pheromone:caenorhabditis_elegans,Dauer-inducing Pheromone,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:deferoxamine:caenorhabditis_elegans,Deferoxamine,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:deguelin:caenorhabditis_elegans,Deguelin,drug,DrugAge,Caenorhabditis elegans,-2.23,,https://genomics.senescence.info/drugs/,2
DRUGAGE:deguelin:drosophila_melanogaster,Deguelin,drug,DrugAge,Drosophila melanogaster,-31.58,,https://genomics.senescence.info/drugs/,3
DRUGAGE:dehydroabietic_acid:caenorhabditis_elegans,Dehydroabietic acid,drug,DrugAge,Caenorhabditis elegans,12.3,,https://genomics.senescence.info/drugs/,5
DRUGAGE:dehydroascorbic_acid:drosophila_melanogaster,Dehydroascorbic acid,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:dehydroepiandrosterone_sulfate:mus_musculus,Dehydroepiandrosterone sulfate,drug,DrugAge,Mus musculus,,,https://genomics.senescence.info/drugs/,3
DRUGAGE:demeclocycline_hydrochloride:caenorhabditis_elegans,Demeclocycline hydrochloride,drug,DrugAge,Caenorhabditis elegans,16.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:demethylpipodophyllotoxin:drosophila_melanogaster,Demethylpipodophyllotoxin,drug,DrugAge,Drosophila melanogaster,-5.77,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dequalinium:drosophila_melanogaster,Dequalinium,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dequalinium_chloride:caenorhabditis_elegans,Dequalinium chloride,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:deuterium_oxide:drosophila_melanogaster,Deuterium Oxide,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,4
DRUGAGE:dexamethasone_sodium_phosphate:drosophila_melanogaster,Dexamethasone sodium phosphate,drug,DrugAge,Drosophila melanogaster,29.0,,https://genomics.senescence.info/drugs/,3
DRUGAGE:dhhp_6:caenorhabditis_elegans,DhHP-6,drug,DrugAge,Caenorhabditis elegans,20.05,,https://genomics.senescence.info/drugs/,2
DRUGAGE:diallyl_trisulfide:caenorhabditis_elegans,Diallyl trisulfide,drug,DrugAge,Caenorhabditis elegans,13.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:diamide:caenorhabditis_elegans,Diamide,drug,DrugAge,Caenorhabditis elegans,-24.88,,https://genomics.senescence.info/drugs/,2
DRUGAGE:diamide:musca_domestica,Diamide,drug,DrugAge,Musca domestica,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dibromoacetic_acid:caenorhabditis_elegans,Dibromoacetic acid,drug,DrugAge,Caenorhabditis elegans,14.6,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dichloroacetate:caenorhabditis_elegans,Dichloroacetate,drug,DrugAge,Caenorhabditis elegans,7.9,,https://genomics.senescence.info/drugs/,1
DRUGAGE:diethyl_maleate:caenorhabditis_elegans,Diethyl Maleate,drug,DrugAge,Caenorhabditis elegans,-1.02,,https://genomics.senescence.info/drugs/,2
DRUGAGE:diethyldithiocarbamate:musca_domestica,Diethyldithiocarbamate,drug,DrugAge,Musca domestica,40.5,,https://genomics.senescence.info/drugs/,2
DRUGAGE:diethylhydroxylamine:drosophila_melanogaster,Diethylhydroxylamine,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,9
DRUGAGE:diethylnitrosamine:mesocricetus_auratus,Diethylnitrosamine,drug,DrugAge,Mesocricetus auratus,-9.8,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dihydroergocristine_methanesulfonate:caenorhabditis_elegans,Dihydroergocristine methanesulfonate,drug,DrugAge,Caenorhabditis elegans,34.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dihydroergotamine_methanesulfonate:caenorhabditis_elegans,Dihydroergotamine methanesulfonate,drug,DrugAge,Caenorhabditis elegans,24.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dihydromyricetin:drosophila_melanogaster,Dihydromyricetin,drug,DrugAge,Drosophila melanogaster,12.43,,https://genomics.senescence.info/drugs/,3
DRUGAGE:dihydrorotenon:caenorhabditis_elegans,Dihydrorotenon,drug,DrugAge,Caenorhabditis elegans,13.02,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dihydrorotenone:drosophila_melanogaster,Dihydrorotenone,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:dihydroxyflavone:drosophila_melanogaster,Dihydroxyflavone,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:diiodomethane:drosophila_melanogaster,Diiodomethane,drug,DrugAge,Drosophila melanogaster,14.5,,https://genomics.senescence.info/drugs/,3
DRUGAGE:dimethyl_sulfide:caenorhabditis_elegans,Dimethyl Sulfide,drug,DrugAge,Caenorhabditis elegans,20.14,,https://genomics.senescence.info/drugs/,3
DRUGAGE:dimethyl_sulfide:drosophila_melanogaster,Dimethyl Sulfide,drug,DrugAge,Drosophila melanogaster,16.04,,https://genomics.senescence.info/drugs/,3
DRUGAGE:dimethyl_formamide:caenorhabditis_elegans,Dimethyl formamide,drug,DrugAge,Caenorhabditis elegans,33.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dimethyl_fumarate:mus_musculus,Dimethyl fumarate,drug,ITP,Mus musculus,,,https://genomics.senescence.info/drugs/,4
DRUGAGE:dimethyl_sulfoxide:caenorhabditis_elegans,Dimethyl sulfoxide,drug,DrugAge,Caenorhabditis elegans,29.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dimethyl_sulfoxide:drosophila_melanogaster,Dimethyl sulfoxide,drug,DrugAge,Drosophila melanogaster,-21.305,,https://genomics.senescence.info/drugs/,4
DRUGAGE:dimethylaminoethyl_p_chlorophenoxyacetate:mus_musculus,Dimethylaminoethyl p-chlorophenoxyacetate,drug,DrugAge,Mus musculus,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:dimethylaminoethyl_p_chlorophenoxyacetate:rattus_norvegicus,Dimethylaminoethyl p-chlorophenoxyacetate,drug,DrugAge,Rattus norvegicus,27.3,,https://genomics.senescence.info/drugs/,1
DRUGAGE:diosgenin:caenorhabditis_elegans,Diosgenin,drug,DrugAge,Caenorhabditis elegans,20.8,,https://genomics.senescence.info/drugs/,1
DRUGAGE:diphenhydramine_hcl:drosophila_melanogaster,Diphenhydramine HCl,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:diphyenyleneiodonium_chloride:caenorhabditis_elegans,Diphyenyleneiodonium chloride,drug,DrugAge,Caenorhabditis elegans,-53.34,,https://genomics.senescence.info/drugs/,2
DRUGAGE:disulfiram:rattus_norvegicus,Disulfiram,drug,DrugAge,Rattus norvegicus,-21.18,,https://genomics.senescence.info/drugs/,2
DRUGAGE:dofetilide:caenorhabditis_elegans,Dofetilide,drug,DrugAge,Caenorhabditis elegans,4.73,,https://genomics.senescence.info/drugs/,2
DRUGAGE:dofetilide:drosophila_melanogaster,Dofetilide,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:doxazosin_mesylate:caenorhabditis_elegans,Doxazosin mesylate,drug,DrugAge,Caenorhabditis elegans,10.98,,https://genomics.senescence.info/drugs/,3
DRUGAGE:doxazosin_mesylate:drosophila_melanogaster,Doxazosin mesylate,drug,DrugAge,Drosophila melanogaster,-3.7,,https://genomics.senescence.info/drugs/,2
DRUGAGE:doxycycline:caenorhabditis_elegans,Doxycycline,drug,DrugAge,Caenorhabditis elegans,23.7,,https://genomics.senescence.info/drugs/,5
DRUGAGE:doxycycline_hydrochloride:caenorhabditis_elegans,Doxycycline hydrochloride,drug,DrugAge,Caenorhabditis elegans,18.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:doxylamine_succinate:drosophila_melanogaster,Doxylamine succinate,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,4
DRUGAGE:egta:asplanchna_brightwelli,EGTA,drug,DrugAge,Asplanchna brightwelli,-24.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:egta:mytilina_brevispina,EGTA,drug,DrugAge,Mytilina brevispina,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:euk_134:aeolosoma_viride,EUK-134,drug,DrugAge,Aeolosoma viride,26.4,,https://genomics.senescence.info/drugs/,3
DRUGAGE:euk_134:caenorhabditis_elegans,EUK-134,drug,DrugAge,Caenorhabditis elegans,42.0,,https://genomics.senescence.info/drugs/,7
DRUGAGE:euk_8:caenorhabditis_elegans,EUK-8,drug,DrugAge,Caenorhabditis elegans,-12.9,,https://genomics.senescence.info/drugs/,18
DRUGAGE:echinacoside:caenorhabditis_elegans,Echinacoside,drug,DrugAge,Caenorhabditis elegans,11.555,,https://genomics.senescence.info/drugs/,4
DRUGAGE:edetate_calcium_disodium:caenorhabditis_elegans,Edetate Calcium Disodium,drug,DrugAge,Caenorhabditis elegans,21.4,,https://genomics.senescence.info/drugs/,1
DRUGAGE:edetate_calcium_disodium:mytilina_brevispina,Edetate Calcium Disodium,drug,DrugAge,Mytilina brevispina,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:edetate_disodium:philodina_acuticornis,Edetate disodium,drug,DrugAge,Philodina acuticornis,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:edetic_acid:asplanchna_brightwelli,Edetic acid,drug,DrugAge,Asplanchna brightwelli,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:eicosapentaenoic_acid:caenorhabditis_elegans,Eicosapentaenoic acid,drug,DrugAge,Caenorhabditis elegans,-20.37,,https://genomics.senescence.info/drugs/,1
DRUGAGE:electrolyzed_reduced_water:caenorhabditis_elegans,Electrolyzed reduced water,drug,DrugAge,Caenorhabditis elegans,17.5,,https://genomics.senescence.info/drugs/,7
DRUGAGE:eleutherococcus_senticosus_extract:caenorhabditis_elegans,Eleutherococcus senticosus extract,drug,DrugAge,Caenorhabditis elegans,16.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:eliprodil:caenorhabditis_elegans,Eliprodil,drug,DrugAge,Caenorhabditis elegans,16.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:ellagic_acid:caenorhabditis_elegans,Ellagic acid,drug,DrugAge,Caenorhabditis elegans,1.925,,https://genomics.senescence.info/drugs/,6
DRUGAGE:ellagic_acid:drosophila_melanogaster,Ellagic acid,drug,DrugAge,Drosophila melanogaster,24.96,,https://genomics.senescence.info/drugs/,4
DRUGAGE:emblica_officinalis_extract:drosophila_melanogaster,Emblica officinalis extract,drug,DrugAge,Drosophila melanogaster,5.9,,https://genomics.senescence.info/drugs/,2
DRUGAGE:emodin:caenorhabditis_elegans,Emodin,drug,DrugAge,Caenorhabditis elegans,14.71,,https://genomics.senescence.info/drugs/,2
DRUGAGE:enalapril:mus_musculus,Enalapril,drug,ITP,Mus musculus,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:enalapril:rattus_norvegicus,Enalapril,drug,DrugAge,Rattus norvegicus,21.36,,https://genomics.senescence.info/drugs/,1
DRUGAGE:enoxacin:caenorhabditis_elegans,Enoxacin,drug,DrugAge,Caenorhabditis elegans,18.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:epicatechin:caenorhabditis_elegans,Epicatechin,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:epicatechin:drosophila_melanogaster,Epicatechin,drug,DrugAge,Drosophila melanogaster,1.585,,https://genomics.senescence.info/drugs/,12
DRUGAGE:epigallocatechin_3_gallate:aedes_aegypti,Epigallocatechin-3-gallate,drug,DrugAge,Aedes aegypti,52.395,,https://genomics.senescence.info/drugs/,2
DRUGAGE:epigallocatechin_3_gallate:caenorhabditis_elegans,Epigallocatechin-3-gallate,drug,DrugAge,Caenorhabditis elegans,12.2,,https://genomics.senescence.info/drugs/,11
DRUGAGE:epigallocatechin_3_gallate:drosophila_melanogaster,Epigallocatechin-3-gallate,drug,DrugAge,Drosophila melanogaster,15.7,,https://genomics.senescence.info/drugs/,1
DRUGAGE:epigallocatechin_3_gallate:rattus_norvegicus,Epigallocatechin-3-gallate,drug,DrugAge,Rattus norvegicus,13.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:epimedium_extract:caenorhabditis_elegans,Epimedium extract,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:epimedium_extract:mus_musculus,Epimedium extract,drug,DrugAge,Mus musculus,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:epitalon:drosophila_melanogaster,Epitalon,drug,DrugAge,Drosophila melanogaster,12.0,,https://genomics.senescence.info/drugs/,10
DRUGAGE:epitalon:mus_musculus,Epitalon,drug,DrugAge,Mus musculus,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:epithalamin:drosophila_melanogaster,Epithalamin,drug,DrugAge,Drosophila melanogaster,16.0,,https://genomics.senescence.info/drugs/,1
