intervention_id,name,itype,source,organism,lifespan_effect_pct,linked_gene_ids,url,n_experiments
DRUGAGE:2_selenium_bridged_beta_cyclodextrin:caenorhabditis_elegans,2-Selenium-bridged-beta-cyclodextrin,drug,DrugAge,Caenorhabditis elegans,7.965,,https://genomics.senescence.info/drugs/,2
DRUGAGE:2_deoxy_d_glucose:caenorhabditis_elegans,2-deoxy-D-glucose,drug,DrugAge,Caenorhabditis elegans,19.57,,https://genomics.senescence.info/drugs/,2
DRUGAGE:2_mercaptoethylamine_hydrochloride:mus_musculus,2-mercaptoethylamine hydrochloride,drug,DrugAge,Mus musculus,26.0,,https://genomics.senescence.info/drugs/,3
DRUGAGE:25_azacoprostane:caenorhabditis_elegans,25-Azacoprostane,drug,DrugAge,Caenorhabditis elegans,-34.8,,https://genomics.senescence.info/drugs/,1
DRUGAGE:3_3__thiodipropionic_acid:asplanchna_brightwelli,"3,3'-thiodipropionic acid",drug,DrugAge,Asplanchna brightwelli,13.2,,https://genomics.senescence.info/drugs/,2
DRUGAGE:3_3_diethyl_2_pyrrolidinone:caenorhabditis_elegans,"3,3-diethyl-2-pyrrolidinone",drug,DrugAge,Caenorhabditis elegans,31.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:3_4__dihydroxyflavone:caenorhabditis_elegans,"3,4'-Dihydroxyflavone",drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:3_4_dichloroisocoumarin:caenorhabditis_elegans,"3,4-dichloroisocoumarin",drug,DrugAge,Caenorhabditis elegans,13.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:3_4_dihydroxybenzaldehyde:drosophila_melanogaster,"3,4-dihydroxybenzaldehyde",drug,DrugAge,Drosophila melanogaster,13.0,,https://genomics.senescence.info/drugs/,3
DRUGAGE:3_5_dihydroxy_4__acetoxy_trans_stilbene:saccharomyces_cerevisiae,"3,5-dihydroxy-4'-acetoxy-trans-stilbene",drug,DrugAge,Saccharomyces cerevisiae,68.2,,https://genomics.senescence.info/drugs/,1
DRUGAGE:3_5_dihydroxy_4__ethyl_trans_stilbene:saccharomyces_cerevisiae,"3,5-dihydroxy-4'-ethyl-trans-stilbene",drug,DrugAge,Saccharomyces cerevisiae,51.5,,https://genomics.senescence.info/drugs/,1
DRUGAGE:3_5_dihydroxy_4__thiomethyl_trans_stilbene:saccharomyces_cerevisiae,"3,5-dihydroxy-4'-thiomethyl-trans-stilbene",drug,DrugAge,Saccharomyces cerevisiae,22.7,,https://genomics.senescence.info/drugs/,1
DRUGAGE:3_7_dimethylxanthine:caenorhabditis_elegans,"3,7-dimethylxanthine",drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:3_methoxycatechol_ii:caenorhabditis_elegans,3-Methoxycatechol II,drug,DrugAge,Caenorhabditis elegans,8.2,,https://genomics.senescence.info/drugs/,2
DRUGAGE:3_morpholinosydnonimine_hydrochloride:caenorhabditis_elegans,3-Morpholinosydnonimine hydrochloride,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:3_amino_1_2_4_triazole:musca_domestica,"3-amino-1,2,4-triazole",drug,DrugAge,Musca domestica,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:3_methoxycatechol:caenorhabditis_elegans,3-methoxycatechol,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:3_methoxycatechol:drosophila_melanogaster,3-methoxycatechol,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:3_methylxanthine:caenorhabditis_elegans,3-methylxanthine,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:3230_2939:caenorhabditis_elegans,3230-2939,drug,DrugAge,Caenorhabditis elegans,-10.515,,https://genomics.senescence.info/drugs/,2
